x1,y1,z1,x2,y2,z2
5.4137850995e-16,8.84138202667,15.178155899,8.0,8.84138202667,15.178155899
4.57359200441e-16,7.46924257278,12.481212616,8.0,7.46924257278,12.481212616
4.11623271637e-16,6.72231817245,11.2330913544,8.0,6.72231817245,11.2330913544
3.65887342834e-16,5.97539377213,9.98497009277,8.0,5.97539377213,9.98497009277
3.20151443228e-16,5.22846984863,8.73684883118,8.0,5.22846984863,8.73684883118
2.74415514425e-16,4.4815454483,7.48872756958,8.0,4.4815454483,7.48872756958
2.2867960022e-16,3.73462128639,6.24060630798,8.0,3.73462128639,6.24060630798
1.82943671417e-16,2.98769688606,4.99248504639,8.0,2.98769688606,4.99248504639
1.37207757212e-16,2.24077272415,3.74436378479,8.0,2.24077272415,3.74436378479
9.14718357085e-17,1.49384844303,2.49624252319,8.0,1.49384844303,2.49624252319
4.57359178542e-17,0.746924221516,1.2481212616,8.0,0.746924221516,1.2481212616
2.0,7.46924257278,12.481212616,10.0,7.46924257278,12.481212616
2.0,6.72231817245,11.2330913544,10.0,6.72231817245,11.2330913544
2.0,5.97539377213,9.98497009277,10.0,5.97539377213,9.98497009277
2.0,5.22846984863,8.73684883118,10.0,5.22846984863,8.73684883118
2.0,4.4815454483,7.48872756958,10.0,4.4815454483,7.48872756958
2.0,3.73462128639,6.24060630798,10.0,3.73462128639,6.24060630798
2.0,2.98769688606,4.99248504639,10.0,2.98769688606,4.99248504639
2.0,2.24077272415,3.74436378479,10.0,2.24077272415,3.74436378479
2.0,1.49384844303,2.49624252319,10.0,1.49384844303,2.49624252319
2.0,0.746924221516,1.2481212616,10.0,0.746924221516,1.2481212616
2.0,8.84138202667,15.178155899,10.0,8.84138202667,15.178155899
2.0,9.06725215912,16.7398738861,10.0,9.06725215912,16.7398738861
2.0,8.87815380096,18.3064689636,10.0,8.87815380096,18.3064689636
2.0,8.28716754913,19.7695865631,10.0,8.28716754913,19.7695865631
2.0,7.33516788483,21.0280303955,10.0,7.33516788483,21.0280303955
2.0,6.0880022049,21.9947547913,10.0,6.0880022049,21.9947547913
2.0,4.63193130493,22.602897644,10.0,4.63193130493,22.602897644
1.0,-0.936160564423,3.75149273872,9.0,-0.936160564423,3.75149273872
1.0,-1.99682080746,4.1908326149,9.0,-1.99682080746,4.1908326149
1.0,-2.43616056442,5.25149250031,9.0,-2.43616056442,5.25149250031
1.0,-1.99682068825,6.31215286255,9.0,-1.99682068825,6.31215286255
1.0,-0.936160564423,6.75149250031,9.0,-0.936160564423,6.75149250031
1.0,0.124499589205,6.31215286255,9.0,0.124499589205,6.31215286255
1.0,0.563839435577,5.25149250031,9.0,0.563839435577,5.25149250031
1.0,0.124499671161,4.1908326149,9.0,0.124499671161,4.1908326149
8.88530800957e-17,1.45108091831,4.45408773422,8.0,1.45108091831,4.45408773422
-2.00004138667e-16,-3.26631546021,4.4147195816,8.0,-3.26631546021,4.4147195816
-2.06104285919e-16,-3.36593842506,5.82060480118,8.0,-3.36593842506,5.82060480118
8.54249380447e-17,1.39509510994,6.05800151825,8.0,1.39509510994,6.05800151825
-1.29042781454e-16,-2.10742855072,2.79730963707,8.0,-2.10742855072,2.79730963707
2.26505936709e-17,0.369912266731,7.39791870117,8.0,0.369912266731,7.39791870117
-1.07715660854e-16,-1.75913023949,7.49787330627,8.0,-1.75913023949,7.49787330627
5.88754398324e-18,0.0961508899927,2.7557516098,8.0,0.0961508899927,2.7557516098
-5.74854047765e-17,-0.93880790472,2.10111951828,8.0,-0.93880790472,2.10111951828
-6.31911130958e-16,-10.3198919296,17.7295589447,8.0,-10.3198919296,17.7295589447
-9.62702739705e-16,-15.7221288681,17.4358882904,8.0,-15.7221288681,17.4358882904
-9.6798585798e-16,-15.8084087372,19.907371521,8.0,-15.8084087372,19.907371521
-6.48109575337e-16,-10.5844326019,20.0940933228,8.0,-10.5844326019,20.0940933228
-8.36149367367e-16,-13.6553554535,21.6490840912,8.0,-13.6553554535,21.6490840912
-7.16744622654e-16,-11.7053279877,21.3386592865,8.0,-11.7053279877,21.3386592865
-8.48256257932e-16,-13.8530759811,15.9587917328,8.0,-13.8530759811,15.9587917328
